EntryID,NameID,Timestamp,WhatGenreOfMusicMostAccuratelyDescribesThisArtistProject,ReleaseDate,StreamsLast28Days,ListenersLast28Days,SavesLast28Days,PlaylistAddsLast28Days,StreamsLast7Days,ListenersLast7Days,SavesLast7Days,PlaylistAddsLast7Days,StreamsAllTime,RadioStreamsLast28Days,DiscoverWeeklyStreamsLast28Days,ReleaseRadarStreamsLast28Days,RadioStreamsLast7Days,DiscoverWeeklyStreamsLast7Days,ReleaseRadarStreamsLast7Days,CurrentSpotifyFollowers,PopularityIndex,WhatIsTheDominantWayThisArtistHasPromotedThisSong,ReleaseConsistency,HowManySongsDoYouHaveInRadioRightNow,HowManySongsHasThisArtistEverReleased,AreYouIndependentOrSignedToALabel,IsThisSongOptedIntoSpotifyDiscoveryMode,ReleaseConsistencyNum,DaysSinceRelease,WeeksSinceRelease,NewRelease,PI_Category,PI_Category_2,ListenersStreamRatio28Days,ListenersStreamRatio7Days,AlgoStreams28Days,AlgoStreams7Days,NonAlgoStreams28Days,NonAlgoStreams7Days,ListenersStreamRatio28Days_adj,ListenersStreamRatio7Days_adj,SavesLast28Days_adj,PlaylistAddsLast28Days_adj,ReleasePhaseEarly
EID031,NID031,2025-03-21T21:12:50.403Z,Metal,2008-01-01T00:00:00Z,378,171,79.0,50.0,203.0,99,34.0,18.0,2921.0,4.0,0.0,0.0,0.0,0.0,0.0,619,7,Facebook / Meta Ads,3-4 weeks,10.0,117,Independent,,3.5,6289,899,no,6-10,6-10,2.21052631578947,2.05050505050505,4.0,0.0,374.0,203.0,2.22721026110857,2.05050505050505,78.89,49.9,False
EID032,NID032,2025-03-21T21:16:31.464Z,Metal,2024-07-05T00:00:00Z,684,399,44.0,35.0,165.0,109,8.0,5.0,7801.0,74.0,0.0,0.0,13.0,0.0,0.0,619,11,Facebook / Meta Ads,3-4 weeks,10.0,117,Independent,,3.5,259,38,no,11-13,11-15,1.71428571428571,1.51376146788991,74.0,13.0,610.0,152.0,1.78322464582865,1.53535353535354,41.88,33.08,False
EID033,NID033,2025-03-21T21:16:54.403Z,Hip-Hop,2022-03-02T00:00:00Z,14258,5941,293.0,373.0,3273.0,1952,77.0,84.0,606076.0,2234.0,542.0,0.0,480.0,62.0,0.0,7548,26,Facebook / Meta Ads,3-4 weeks,10.0,125,Independent,,3.5,1115,160,no,26-29,26-30,2.39993267126746,1.67674180327869,2776.0,542.0,11482.0,2731.0,3.01712044953813,1.77906394066947,213.41,301.04,False
EID034,NID034,2025-03-21T21:20:16.614Z,Hip-Hop,2025-02-05T00:00:00Z,12323,5626,406.0,525.0,2754.0,1721,,107.0,22292.0,1037.0,92.0,40.0,346.0,16.0,0.0,7548,29,Facebook / Meta Ads,3-4 weeks,10.0,125,Independent,,3.5,44,7,no,26-29,26-30,2.19036615712762,1.60023242300988,1169.0,362.0,11154.0,2392.0,2.35975133446166,1.65818802324961,372.49,494.7,False
EID035,NID035,2025-03-21T21:20:33.632Z,Metal,2024-09-06T00:00:00Z,449,306,13.0,13.0,84.0,66,1.0,3.0,3485.0,182.0,0.0,0.0,28.0,0.0,0.0,619,9,No promotion,3-4 weeks,10.0,117,Independent,,3.5,196,29,no,6-10,6-10,1.46732026143791,1.27272727272727,182.0,28.0,267.0,56.0,1.60843373493976,1.25951557093426,7.78,8.28,False
EID036,NID036,2025-03-21T21:23:20.488Z,Hip-Hop,2025-03-05T00:00:00Z,11773,6705,863.0,1290.0,4526.0,2678,264.0,204.0,11773.0,2302.0,25.0,124.0,1498.0,25.0,117.0,7548,29,Facebook / Meta Ads,3-4 weeks,10.0,125,Independent,,3.5,16,3,yes,26-29,26-30,1.7558538404176,1.69006721433906,2451.0,1640.0,9322.0,2886.0,1.93417923549597,2.03747148908439,792.73,1226.47,True
EID037,NID037,2025-03-21T21:33:25.125Z,Rock,2025-02-27T00:00:00Z,31,10,6.0,5.0,2.0,2,0.0,2.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0,Facebook / Meta Ads,Over 12 weeks,3.0,4,Independent,,14.0,22,4,yes,0-5,0-5,3.1,1.0,0.0,0.0,31.0,2.0,3.1,1.0,6.0,5.0,True
EID038,NID038,2025-03-21T21:35:31.342Z,Pop,2025-03-07T00:00:00Z,1838,794,190.0,200.0,1383.0,710,102.0,91.0,1838.0,659.0,0.0,17.0,640.0,0.0,7.0,2163,16,Facebook / Meta Ads,5-6 weeks,5.0,15,Independent,,5.5,14,3,yes,14-16,16-20,2.31486146095718,1.94788732394366,676.0,647.0,1162.0,736.0,4.24087591240876,3.46666666666667,170.62,182.48,True
EID039,NID039,2025-03-21T21:53:11.901Z,EDM / Electronic,2025-02-07T00:00:00Z,12879,7426,456.0,985.0,2738.0,2045,105.0,230.0,30719.0,537.0,0.0,131.0,26.0,0.0,0.0,4690,29,Social Media,5-6 weeks,10.0,34,Independent,,5.5,42,7,no,26-29,26-30,1.73431187718826,1.33887530562347,668.0,26.0,12211.0,2712.0,1.76659841082597,1.33925925925926,436.85,967.68,False
EID040,NID040,2025-03-21T21:57:00.991Z,EDM / Electronic,2024-10-04T00:00:00Z,21138,11702,527.0,752.0,4100.0,2930,84.0,160.0,173865.0,1675.0,138.0,0.0,1675.0,50.0,0.0,4690,34,Facebook / Meta Ads,5-6 weeks,10.0,34,Independent,,5.5,168,25,no,33-35,31-40,1.80635788754059,1.39931740614334,1813.0,1725.0,19325.0,2375.0,1.87486939908654,1.48152591170825,475.02,705.0,False
